Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
NAFLD MOTUS4 Shannon Index_value A B 17 14 111 0.769 ns
NAFLD MOTUS4 Simpson Index_value A B 17 14 85 0.186 ns
NAFLD MOTUS4 Tail Index_value A B 17 14 139 0.444 ns
NAFLD MPA_db2022 Hill_1 Index_value A B 18 17 139 0.66 ns
NAFLD MPA_db2022 Hill_2 Index_value A B 18 17 100 0.0831 ns
NAFLD MPA_db2022 Richness Index_value A B 18 17 168.5 0.62 ns
NAFLD MPA_db2022 Shannon Index_value A B 18 17 139 0.66 ns
NAFLD MPA_db2022 Simpson Index_value A B 18 17 100 0.0831 ns
NAFLD MPA_db2022 Tail Index_value A B 18 17 186 0.287 ns
NAFLD MPA_db2023 Hill_1 Index_value A B 18 17 149 0.909 ns
NAFLD MPA_db2023 Hill_2 Index_value A B 18 17 109 0.153 ns
NAFLD MPA_db2023 Richness Index_value A B 18 17 174 0.499 ns
NAFLD MPA_db2023 Shannon Index_value A B 18 17 149 0.909 ns
NAFLD MPA_db2023 Simpson Index_value A B 18 17 109 0.153 ns
NAFLD MPA_db2023 Tail Index_value A B 18 17 185 0.303 ns
NAFLD MPA_db2025 Hill_1 Index_value A B 18 16 140 0.905 ns
NAFLD MPA_db2025 Hill_2 Index_value A B 18 16 104 0.175 ns
NAFLD MPA_db2025 Richness Index_value A B 18 16 159 0.617 ns
NAFLD MPA_db2025 Shannon Index_value A B 18 16 140 0.905 ns
NAFLD MPA_db2025 Simpson Index_value A B 18 16 104 0.175 ns
NAFLD MPA_db2025 Tail Index_value A B 18 16 171 0.365 ns
NAFLD SM_RefSeq_20250528 Hill_1 Index_value A B 18 17 125 0.369 ns
NAFLD SM_RefSeq_20250528 Hill_2 Index_value A B 18 17 101 0.0893 ns
NAFLD SM_RefSeq_20250528 Richness Index_value A B 18 17 176.5 0.447 ns
NAFLD SM_RefSeq_20250528 Shannon Index_value A B 18 17 125 0.369 ns
NAFLD SM_RefSeq_20250528 Simpson Index_value A B 18 17 101 0.0893 ns
NAFLD SM_RefSeq_20250528 Tail Index_value A B 18 17 163 0.757 ns
NAFLD SM_genbank-2022.03 Hill_1 Index_value A B 18 17 110 0.163 ns
NAFLD SM_genbank-2022.03 Hill_2 Index_value A B 18 17 84 0.0224 *
NAFLD SM_genbank-2022.03 Richness Index_value A B 18 17 163.5 0.741 ns
NAFLD SM_genbank-2022.03 Shannon Index_value A B 18 17 110 0.163 ns
NAFLD SM_genbank-2022.03 Simpson Index_value A B 18 17 84 0.0224 *
NAFLD SM_genbank-2022.03 Tail Index_value A B 18 17 139 0.66 ns
NAFLD SM_gtdb-rs214-full Hill_1 Index_value A B 18 17 132 0.503 ns
NAFLD SM_gtdb-rs214-full Hill_2 Index_value A B 18 17 104 0.11 ns
