filepath,count
PD/preproc/SRR19064481/SRR19064481_paired_1.fastq,33543682
PD/preproc/SRR19064482/SRR19064482_paired_1.fastq,168818897
PD/preproc/SRR19064483/SRR19064483_paired_1.fastq,30191063
PD/preproc/SRR19064484/SRR19064484_paired_1.fastq,35232310
PD/preproc/SRR19064485/SRR19064485_paired_1.fastq,17044220
PD/preproc/SRR19064486/SRR19064486_paired_1.fastq,28765304
PD/preproc/SRR19064487/SRR19064487_paired_1.fastq,27216119
PD/preproc/SRR19064488/SRR19064488_paired_1.fastq,31961720
PD/preproc/SRR19064489/SRR19064489_paired_1.fastq,23577036
PD/preproc/SRR19064490/SRR19064490_paired_1.fastq,25354007
PD/preproc/SRR19064491/SRR19064491_paired_1.fastq,23755895
PD/preproc/SRR19064492/SRR19064492_paired_1.fastq,28081589
PD/preproc/SRR19064493/SRR19064493_paired_1.fastq,22085564
PD/preproc/SRR19064494/SRR19064494_paired_1.fastq,26329627
PD/preproc/SRR19064495/SRR19064495_paired_1.fastq,20423137
PD/preproc/SRR19064496/SRR19064496_paired_1.fastq,39368837
PD/preproc/SRR19064497/SRR19064497_paired_1.fastq,13630867
PD/preproc/SRR19064498/SRR19064498_paired_1.fastq,26194510
PD/preproc/SRR19064499/SRR19064499_paired_1.fastq,19839866
PD/preproc/SRR19064500/SRR19064500_paired_1.fastq,38630376
PD/preproc/SRR19064501/SRR19064501_paired_1.fastq,16734485
PD/preproc/SRR19064502/SRR19064502_paired_1.fastq,16542712
