feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002468	0	0	0	0	0.0486598321468508	0	0.0343558306990162	0	0	0	0	0.893192726199809	0	0	0	0	0	0	0.667488398960756	0	0	0	0	0.0358566442529435	0	0	0	0	0.06963900426849	0.0136314358211464	0	0
SRR20002473	0.0183254267779967	0	0	0	0	0	0.139835680861088	0	0	0	0	0	0	0	0	0	0	0.0345040465899146	0.0314443616301158	0	0	0	0.0697038087961721	0.304706860138567	0.0135172834584222	0	0	0.0182804513215832	1.20800619966748	0.0930095221496424	0	0
SRR20002474	0	0	0.0626705258471608	0	0.079261596049325	0	0.434285128766008	0.0436672425002879	0	0.0417552717127843	0	0.0469053938479023	0	0	0.0351964679101557	0	0.237471773605978	0.106486237844742	0.0833604559896027	0	0	0	0.198076982569063	0.962751475921488	0	0	0	0.0597249915358704	0.111626247421427	0.0613518469718672	0	0
SRR20002475	0.0365419078785108	0	0.0441753868316968	0	0	0	0.394389876822437	0	0	0.118681295533661	0	0.149904180551141	0.0336853465211538	0	0	0.0378428950860317	0.061309812654959	0.1207693146728	0.116157807221069	0	0.0341031103835395	0	0.288028338032795	0.892497386020468	0.0523480880982751	0	0	0.048919110730871	0.0744954279559185	0.269651082451211	0.0203158615707338	0.091221764774869
SRR20002477	0.0623127709757914	0.0878296555921026	0.0613514721036436	0	0	0	0.374647928725677	0	0.0597151035206962	0.10531106152831	0.0626299418944282	0	0.0393835855208985	0	0	0.0553546137619123	0.0918595521304725	0.125099945224223	0.136086729126834	0.0396616706701816	0.190913870101733	0	0.218571088393913	0.91430097507215	0.0543922872687154	0	0.0510542210022949	0.0658852879407962	0.0659187044330358	0.0987667453592772	0.221057902241933	0.0334051369707129
SRR20002478	0	0.0629975132467005	0.0596928548696956	0	0	0	0.251644517487729	0	0.0561951673841187	0	0.0518183228600142	0	0	0	0	0.0982676872019327	0.0495536773305132	0.0576196122499892	0	0.0508979844805071	0	0	0.146562073553911	1.1630523564864	0	0	0	0	0	0	0.207825734480888	0
SRR20002479	0	0	0	0	0	0	0.225354351987737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150974671024285	0.53605126915783	0	0	0	0	0.955233203380486	0	0	0
SRR20002481	0	0	0	0	0.225138809834295	0	0.178269195418351	0	0	0	0	0	0	0	0	0	0	0	0	0.266615892386434	0	0	0.254702613606248	0.708410842074	0	0	0	0	0	0	0.64610716899778	0
SRR20002482	0	0.125499276391961	0	0	0	0	0.381653064471794	0	0.10017528623347	0	0.0827031393563105	0	0	0	0	0	0.0573629403051569	0.0760703957283905	0.049274833379918	0.180453717285425	0	0	0.204190576348819	0.874998882595593	0	0.049274833379918	0.080584937750917	0.0471616221387253	0	0	0.388822009033119	0
SRR20002486	0	0	0.128214750560589	0	0	0	0.400181321687127	0	0	0	0	0	0	0	0	0	0.0493607243433516	0.098157559541509	0.0445995927300081	0	0	0	0.247754693267961	1.04442309694066	0.0509223698936924	0.0524376846069198	0	0.0559477353248301	0.0406656264741729	0	0	0
SRR20002487	0	0.0807036613358841	0.0661242054931747	0	0	0	0.22439196190962	0.0249208275756528	0.0626984853812868	0	0.0465058377427872	0.0269382711662815	0.0232466316157836	0	0	0	0.0291533791611444	0.0805815593846788	0.0409962303613895	0.0934532668255481	0	0	0.175070693504959	1.15241600266927	0.0275384563341944	0	0.0438001183028966	0.0361630760948682	0.0300735426481004	0	0.207193528225522	0.0381296863988907
